id_siswa,id_buku,tanggal_baca,durasi_menit,halaman_selesai
2016072,102,2025-09-03,58,38
2016078,112,2025-09-03,49,32
2014037,104,2025-09-03,20,13
2016062,101,2025-09-03,30,20
2015004,112,2025-09-03,46,30
2015027,111,2025-09-03,50,33
2014050,104,2025-09-03,33,22
2014074,108,2025-09-03,35,23
2015026,110,2025-09-03,43,28
2015035,112,2025-09-03,46,30
2015064,110,2025-09-03,49,32
2016055,102,2025-09-04,27,18
2016084,101,2025-09-04,32,21
2015005,112,2025-09-04,47,31
2016018,101,2025-09-04,38,25
2015035,112,2025-09-04,53,35
2016086,106,2025-09-04,53,35
2016010,107,2025-09-04,31,20
2015043,108,2025-09-04,61,40
2014077,105,2025-09-04,46,30
2016003,112,2025-09-04,37,24
2014009,110,2025-09-04,58,38
2014079,105,2025-09-04,56,37
2015038,106,2025-09-04,38,25
2015063,103,2025-09-04,48,32
2015020,101,2025-09-04,49,32
2014056,109,2025-09-04,26,17
2016014,102,2025-09-04,34,22
2014087,108,2025-09-04,22,14
2016088,103,2025-09-04,60,40
2014032,110,2025-09-04,32,21
2016085,103,2025-09-04,36,24
2014050,110,2025-09-04,44,29
2014082,108,2025-09-04,73,48
2016067,110,2025-09-04,27,18
2016081,103,2025-09-04,55,36
2016025,110,2025-09-04,45,30
2014059,107,2025-09-04,38,25
2016066,112,2025-09-04,46,30
2016060,103,2025-09-04,40,26
2016023,112,2025-09-04,22,14
2015040,105,2025-09-04,30,20
2015007,102,2025-09-04,48,32
2016069,101,2025-09-04,37,24
2016021,103,2025-09-04,73,48
2016022,107,2025-09-04,51,34
2014006,107,2025-09-04,34,22
2016089,112,2025-09-04,38,25
2016062,103,2025-09-04,35,23
2014058,105,2025-09-04,5,3
2014052,109,2025-09-04,36,24
2016072,103,2025-09-04,21,14
2014037,110,2025-09-04,24,16
2014012,108,2025-09-04,47,31
2016044,102,2025-09-04,37,24
2014041,108,2025-09-04,49,32
2016070,103,2025-09-04,46,30
2016057,102,2025-09-04,32,21
2015064,111,2025-09-04,46,30
2015027,106,2025-09-04,36,24
2015090,105,2025-09-04,34,22
2015053,102,2025-09-04,61,40
2014054,104,2025-09-04,20,13
2016078,103,2025-09-04,55,36
2016048,101,2025-09-04,53,35
2015090,103,2025-09-05,33,22
2014080,111,2025-09-05,52,34
2014051,108,2025-09-05,46,30
2016001,109,2025-09-05,57,38
2014037,111,2025-09-05,55,36
2016015,103,2025-09-05,40,26
2014052,105,2025-09-05,35,23
2014087,105,2025-09-05,63,42
2014046,104,2025-09-05,55,36
2014054,106,2025-09-05,59,39
2014077,111,2025-09-05,61,40
2016010,101,2025-09-05,32,21
2015038,108,2025-09-05,28,18
2015007,108,2025-09-05,54,36
2016034,101,2025-09-05,37,24
2015026,102,2025-09-05,26,17
2016049,112,2025-09-05,17,11
2015043,102,2025-09-05,47,31
2016067,102,2025-09-05,27,18
2016057,102,2025-09-05,22,14
2014076,109,2025-09-05,32,21
2016078,112,2025-09-05,36,24
2015068,112,2025-09-05,39,26
2015042,107,2025-09-05,50,33
2015063,102,2025-09-05,45,30
2016070,103,2025-09-05,20,13
2016023,102,2025-09-05,38,25
2016085,101,2025-09-05,33,22
2016089,101,2025-09-05,61,40
2014041,111,2025-09-05,51,34
2016036,110,2025-09-05,19,12
2015004,107,2025-09-05,42,28
2015028,107,2025-09-05,40,26
2016025,103,2025-09-05,61,40
2014039,106,2025-09-05,33,22
2016086,112,2025-09-05,36,24
2016048,112,2025-09-05,48,32
2016044,102,2025-09-05,52,34
2014079,111,2025-09-05,18,12
2014056,108,2025-09-05,36,24
2016018,103,2025-09-05,70,46
2016066,112,2025-09-05,72,48
2016069,103,2025-09-05,44,29
2015013,101,2025-09-05,28,18
2016072,107,2025-09-05,37,24
2016081,103,2025-09-05,40,26
2016022,112,2025-09-05,40,26
2016055,101,2025-09-05,49,32
2016073,101,2025-09-05,25,16
2015005,105,2025-09-05,42,28
2014024,104,2025-09-05,45,30
2016060,102,2025-09-05,27,18
2016029,103,2025-09-05,15,10
2015075,104,2025-09-05,23,15
2015040,101,2025-09-08,5,3
2016088,102,2025-09-08,27,18
2016033,102,2025-09-08,36,24
2014002,111,2025-09-08,11,7
2016003,112,2025-09-08,18,12
2016055,102,2025-09-08,19,12
2014047,105,2025-09-08,5,3
2014012,107,2025-09-08,5,3
2015090,102,2025-09-08,15,10
2016061,112,2025-09-08,20,13
2016073,101,2025-09-08,10,6
2016036,108,2025-09-08,5,3
2015035,108,2025-09-08,24,16
2015013,106,2025-09-08,5,3
2016057,101,2025-09-08,23,15
2014037,110,2025-09-08,5,3
2016049,108,2025-09-08,26,17
2016011,112,2025-09-08,22,14
2014006,110,2025-09-08,15,10
2014030,111,2025-09-08,20,13
2014077,107,2025-09-08,5,3
2014079,107,2025-09-08,5,3
2016070,103,2025-09-08,27,18
2016060,102,2025-09-08,5,3
2016010,101,2025-09-08,31,20
2014052,105,2025-09-08,8,5
2016029,101,2025-09-08,28,18
2014032,105,2025-09-08,5,3
2016018,112,2025-09-08,28,18
2014051,107,2025-09-08,22,14
2014076,105,2025-09-08,26,17
2016023,112,2025-09-08,5,3
2014017,104,2025-09-08,12,8
2016025,101,2025-09-08,5,3
2016034,101,2025-09-08,5,3
2016008,106,2025-09-08,15,10
2015042,106,2025-09-08,28,18
2014050,110,2025-09-08,12,8
2014056,104,2025-09-08,8,5
2015068,110,2025-09-08,6,4
2014054,110,2025-09-08,5,3
2016015,112,2025-09-08,20,13
2016014,101,2025-09-08,13,8
2014087,105,2025-09-08,29,19
2016067,106,2025-09-08,5,3
2016062,101,2025-09-08,22,14
2016001,101,2025-09-08,14,9
2015064,103,2025-09-08,5,3
2015028,108,2025-09-08,5,3
2016089,103,2025-09-08,35,23
2014024,107,2025-09-08,22,14
2016066,102,2025-09-08,13,8
2016071,103,2025-09-08,14,9
2014082,111,2025-09-08,27,18
2014082,104,2025-09-09,34,22
2014050,105,2025-09-09,33,22
2016014,103,2025-09-09,45,30
2014009,107,2025-09-09,43,28
2015075,107,2025-09-09,48,32
2015004,105,2025-09-09,55,36
2014002,110,2025-09-09,36,24
2014051,106,2025-09-09,67,44
2014017,108,2025-09-09,32,21
2016078,101,2025-09-09,49,32
2016057,112,2025-09-09,35,23
2014047,104,2025-09-09,40,26
2016029,112,2025-09-09,38,25
2015053,109,2025-09-09,66,44
2015064,101,2025-09-09,57,38
2014054,109,2025-09-09,53,35
2016025,102,2025-09-09,35,23
2015068,112,2025-09-09,55,36
2016034,102,2025-09-09,27,18
2016023,103,2025-09-09,35,23
2014024,106,2025-09-09,37,24
2014030,106,2025-09-09,56,37
2016081,112,2025-09-09,31,20
2014065,111,2025-09-09,31,20
2016072,108,2025-09-09,45,30
2015013,106,2025-09-09,44,29
2016033,103,2025-09-09,36,24
2016010,101,2025-09-09,52,34
2016021,102,2025-09-09,51,34
2015090,104,2025-09-09,42,28
2016044,101,2025-09-09,27,18
2015026,105,2025-09-09,37,24
2014080,107,2025-09-09,36,24
2016089,112,2025-09-09,34,22
2016036,112,2025-09-09,56,37
2014006,104,2025-09-09,50,33
2014037,107,2025-09-09,18,12
2015038,112,2025-09-09,54,36
2016069,112,2025-09-09,24,16
2015007,102,2025-09-09,24,16
2014074,104,2025-09-09,39,26
2014079,104,2025-09-09,50,33
2014046,106,2025-09-09,52,34
2015035,103,2025-09-09,45,30
2015020,107,2025-09-09,59,39
2016061,102,2025-09-09,68,45
2016008,112,2025-09-09,35,23
2016085,102,2025-09-09,19,12
2014058,108,2025-09-09,48,32
2016003,102,2025-09-09,46,30
2016066,110,2025-09-09,57,38
2015043,109,2025-09-09,36,24
2014039,111,2025-09-09,42,28
2016073,112,2025-09-09,47,31
2016048,104,2025-09-10,44,29
2014006,109,2025-09-10,25,16
2016081,103,2025-09-10,39,26
2016029,103,2025-09-10,29,19
2016023,105,2025-09-10,62,41
2014009,108,2025-09-10,37,24
2014082,111,2025-09-10,57,38
2015027,105,2025-09-10,34,22
2016057,103,2025-09-10,35,23
2015013,109,2025-09-10,39,26
2014065,110,2025-09-10,42,28
2014046,104,2025-09-10,47,31
2014076,104,2025-09-10,51,34
2016089,103,2025-09-10,17,11
2015026,112,2025-09-10,38,25
2014058,110,2025-09-10,41,27
2016001,103,2025-09-10,34,22
2014037,107,2025-09-10,63,42
2015040,108,2025-09-10,29,19
2014041,111,2025-09-10,32,21
2016073,103,2025-09-10,67,44
2014056,110,2025-09-10,21,14
2016008,104,2025-09-10,48,32
2016055,102,2025-09-10,48,32
2016015,103,2025-09-10,32,21
2016018,112,2025-09-10,59,39
2016060,102,2025-09-10,44,29
2016031,112,2025-09-10,15,10
2016021,112,2025-09-10,30,20
2015043,103,2025-09-10,64,42
2014017,110,2025-09-10,28,18
2014002,111,2025-09-10,48,32
2015005,112,2025-09-10,32,21
2015075,107,2025-09-10,45,30
2014024,108,2025-09-10,53,35
2015019,110,2025-09-10,53,35
2014050,111,2025-09-10,26,17
2014074,108,2025-09-10,37,24
2015038,111,2025-09-10,25,16
2015042,102,2025-09-10,29,19
2016066,102,2025-09-10,8,5
2016011,112,2025-09-10,40,26
2014012,110,2025-09-10,54,36
2014079,109,2025-09-10,59,39
2016083,103,2025-09-10,46,30
2016071,101,2025-09-10,24,16
2016067,102,2025-09-10,40,26
2016069,102,2025-09-10,18,12
2015068,111,2025-09-10,40,26
2016085,109,2025-09-10,52,34
2016088,112,2025-09-10,52,34
2016078,101,2025-09-10,17,11
2014077,104,2025-09-10,53,35
2016022,101,2025-09-10,51,34
2016023,101,2025-09-11,55,36
2016062,112,2025-09-11,33,22
2016022,101,2025-09-11,47,31
2014046,106,2025-09-11,18,12
2014012,108,2025-09-11,36,24
2014041,110,2025-09-11,10,6
2015026,101,2025-09-11,45,30
2014037,106,2025-09-11,41,27
2016078,101,2025-09-11,47,31
2015007,107,2025-09-11,46,30
2016083,101,2025-09-11,53,35
2016025,112,2025-09-11,52,34
2016070,101,2025-09-11,56,37
2016048,112,2025-09-11,39,26
2014016,109,2025-09-11,50,33
2015064,106,2025-09-11,56,37
2016036,101,2025-09-11,69,46
2016031,110,2025-09-11,48,32
2016081,112,2025-09-11,41,27
2016010,103,2025-09-11,24,16
2016085,112,2025-09-11,22,14
2014047,107,2025-09-11,28,18
2016066,112,2025-09-11,29,19
2014050,107,2025-09-11,43,28
2015090,110,2025-09-11,35,23
2016034,112,2025-09-11,57,38
2014051,106,2025-09-11,29,19
2015027,105,2025-09-11,14,9
2014077,109,2025-09-11,21,14
2016033,103,2025-09-11,45,30
2015005,108,2025-09-11,55,36
2015019,106,2025-09-11,50,33
2014058,107,2025-09-11,60,40
2015063,108,2025-09-11,64,42
2015035,103,2025-09-11,71,47
2016061,102,2025-09-11,32,21
2016071,101,2025-09-11,36,24
2014087,106,2025-09-11,17,11
2016055,101,2025-09-11,38,25
2016073,102,2025-09-11,45,30
2015038,105,2025-09-11,40,26
2014032,104,2025-09-11,27,18
2016014,101,2025-09-11,51,34
2016008,101,2025-09-11,49,32
2015053,109,2025-09-11,5,3
2014052,110,2025-09-11,45,30
2016044,103,2025-09-11,63,42
2014065,106,2025-09-11,18,12
2015013,105,2025-09-11,38,25
2014054,110,2025-09-11,41,27
2015040,105,2025-09-11,23,15
2014045,111,2025-09-11,5,3
2016011,101,2025-09-11,39,26
2016018,103,2025-09-11,9,6
2015007,109,2025-09-12,43,28
2016057,103,2025-09-12,28,18
2014016,108,2025-09-12,60,40
2015043,112,2025-09-12,23,15
2014041,111,2025-09-12,32,21
2016070,103,2025-09-12,51,34
2014030,107,2025-09-12,51,34
2016073,101,2025-09-12,26,17
2016022,112,2025-09-12,48,32
2015027,104,2025-09-12,68,45
2014006,108,2025-09-12,24,16
2015035,106,2025-09-12,53,35
2014074,110,2025-09-12,64,42
2016078,112,2025-09-12,17,11
2015005,101,2025-09-12,27,18
2016034,103,2025-09-12,51,34
2014002,106,2025-09-12,47,31
2015068,103,2025-09-12,60,40
2014082,106,2025-09-12,50,33
2014039,106,2025-09-12,63,42
2014009,105,2025-09-12,37,24
2016014,101,2025-09-12,43,28
2016021,103,2025-09-12,22,14
2015063,103,2025-09-12,29,19
2016060,103,2025-09-12,21,14
2016018,112,2025-09-12,45,30
2015020,104,2025-09-12,34,22
2016010,112,2025-09-12,33,22
2014059,104,2025-09-12,24,16
2014058,104,2025-09-12,40,26
2016067,103,2025-09-12,26,17
2016072,112,2025-09-12,38,25
2016001,101,2025-09-12,27,18
2016015,109,2025-09-12,44,29
2016061,106,2025-09-12,30,20
2015053,102,2025-09-12,74,49
2016071,102,2025-09-12,63,42
2016029,101,2025-09-12,5,3
2016069,103,2025-09-12,20,13
2014017,108,2025-09-12,22,14
2016036,101,2025-09-12,37,24
2014087,110,2025-09-12,19,12
2016044,112,2025-09-12,28,18
2014080,111,2025-09-12,53,35
2016088,112,2025-09-12,42,28
2016049,102,2025-09-12,28,18
2016084,101,2025-09-12,39,26
2015064,105,2025-09-12,20,13
2014077,106,2025-09-12,46,30
2014076,106,2025-09-12,27,18
2015075,111,2025-09-12,35,23
2016025,101,2025-09-12,38,25
2016011,103,2025-09-12,37,24
2015013,105,2025-09-12,56,37
2016001,112,2025-09-15,5,3
2014009,111,2025-09-15,20,13
2014056,107,2025-09-15,38,25
2015020,111,2025-09-15,5,3
2014051,106,2025-09-15,34,22
2016023,102,2025-09-15,7,4
2014045,108,2025-09-15,35,23
2016033,103,2025-09-15,24,16
2015007,104,2025-09-15,8,5
2016025,112,2025-09-15,5,3
2014087,108,2025-09-15,11,7
2016086,112,2025-09-15,20,13
2014006,111,2025-09-15,37,24
2014050,109,2025-09-15,19,12
2014077,106,2025-09-15,5,3
2014079,106,2025-09-15,30,20
2016022,101,2025-09-15,19,12
2015042,102,2025-09-15,12,8
2014074,108,2025-09-15,5,3
2014024,109,2025-09-15,9,6
2016072,103,2025-09-15,12,8
2016055,112,2025-09-15,12,8
2016029,112,2025-09-15,8,5
2014059,106,2025-09-15,12,8
2016061,101,2025-09-15,12,8
2016018,112,2025-09-15,10,6
2015068,105,2025-09-15,43,28
2015043,102,2025-09-15,20,13
2015005,107,2025-09-15,33,22
2016015,110,2025-09-15,6,4
2016057,112,2025-09-15,34,22
2016049,101,2025-09-15,5,3
2016089,111,2025-09-15,17,11
2015053,112,2025-09-15,24,16
2016073,102,2025-09-15,8,5
2015004,109,2025-09-15,20,13
2016067,102,2025-09-15,21,14
2016069,112,2025-09-15,5,3
2014047,105,2025-09-15,17,11
2015090,104,2025-09-15,14,9
2014054,109,2025-09-15,5,3
2016010,103,2025-09-15,23,15
2016066,101,2025-09-15,7,4
2016014,102,2025-09-15,10,6
2014012,110,2025-09-15,5,3
2014030,109,2025-09-15,26,17
2014080,109,2025-09-15,14,9
2014052,104,2025-09-15,16,10
2015028,106,2025-09-15,39,26
2016044,102,2025-09-15,7,4
2014039,110,2025-09-15,5,3
2016003,102,2025-09-15,5,3
2014002,111,2025-09-15,5,3
2016070,103,2025-09-15,5,3
2015013,112,2025-09-16,40,26
2014082,107,2025-09-16,37,24
2016044,101,2025-09-16,36,24
2016078,102,2025-09-16,44,29
2015026,106,2025-09-16,38,25
2015064,107,2025-09-16,43,28
2016029,101,2025-09-16,79,52
2015040,112,2025-09-16,46,30
2016070,112,2025-09-16,28,18
2016081,101,2025-09-16,58,38
2014052,106,2025-09-16,37,24
2014016,108,2025-09-16,51,34
2015005,105,2025-09-16,53,35
2014087,105,2025-09-16,37,24
2016089,102,2025-09-16,33,22
2015043,112,2025-09-16,11,7
2016083,103,2025-09-16,28,18
2016085,102,2025-09-16,33,22
2014037,110,2025-09-16,36,24
2015004,112,2025-09-16,39,26
2016067,112,2025-09-16,37,24
2016060,110,2025-09-16,18,12
2014051,110,2025-09-16,40,26
2016057,111,2025-09-16,72,48
2014077,106,2025-09-16,33,22
2016001,103,2025-09-16,69,46
2015007,111,2025-09-16,36,24
2016072,102,2025-09-16,44,29
2016088,102,2025-09-16,43,28
2016073,102,2025-09-16,70,46
2014054,109,2025-09-16,30,20
2016069,101,2025-09-16,12,8
2014065,104,2025-09-16,64,42
2016049,112,2025-09-16,17,11
2016084,102,2025-09-16,59,39
2015027,108,2025-09-16,14,9
2014059,107,2025-09-16,30,20
2015035,102,2025-09-16,31,20
2014058,107,2025-09-16,25,16
2014046,109,2025-09-16,56,37
2016033,102,2025-09-16,51,34
2016061,101,2025-09-16,45,30
2014079,110,2025-09-16,35,23
2014047,104,2025-09-16,29,19
2015038,111,2025-09-16,29,19
2014012,108,2025-09-16,62,41
2016062,102,2025-09-16,36,24
2015053,107,2025-09-16,38,25
2014076,105,2025-09-16,28,18
2015063,105,2025-09-16,23,15
2015075,112,2025-09-16,32,21
2015042,111,2025-09-16,54,36
2016010,105,2025-09-16,39,26
2016071,101,2025-09-16,43,28
2016084,103,2025-09-17,36,24
2016083,112,2025-09-17,36,24
2016023,102,2025-09-17,5,3
2016071,103,2025-09-17,48,32
2014002,106,2025-09-17,55,36
2014024,104,2025-09-17,81,54
2014039,106,2025-09-17,44,29
2016088,101,2025-09-17,16,10
2016062,102,2025-09-17,27,18
2014087,108,2025-09-17,40,26
2016018,101,2025-09-17,44,29
2016036,101,2025-09-17,59,39
2015053,110,2025-09-17,26,17
2016031,103,2025-09-17,31,20
2014076,108,2025-09-17,41,27
2016070,103,2025-09-17,30,20
2015013,108,2025-09-17,35,23
2014056,107,2025-09-17,23,15
2016022,102,2025-09-17,44,29
2016010,103,2025-09-17,72,48
2016015,101,2025-09-17,49,32
2015038,107,2025-09-17,37,24
2014050,104,2025-09-17,10,6
2015040,106,2025-09-17,15,10
2014047,110,2025-09-17,5,3
2014012,104,2025-09-17,10,6
2016086,112,2025-09-17,7,4
2014041,108,2025-09-17,33,22
2015042,104,2025-09-17,38,25
2014052,107,2025-09-17,33,22
2016014,101,2025-09-17,21,14
2015027,112,2025-09-17,47,31
2014009,104,2025-09-17,36,24
2014030,107,2025-09-17,11,7
2014080,110,2025-09-17,43,28
2014051,109,2025-09-17,59,39
2014077,109,2025-09-17,16,10
2015043,106,2025-09-17,48,32
2015075,109,2025-09-17,31,20
2016057,102,2025-09-17,35,23
2014065,109,2025-09-17,70,46
2014045,106,2025-09-17,38,25
2016073,103,2025-09-17,53,35
2016060,112,2025-09-17,48,32
2014017,109,2025-09-17,62,41
2016048,102,2025-09-17,36,24
2016049,101,2025-09-17,26,17
2015064,108,2025-09-17,33,22
2016001,112,2025-09-17,40,26
2015035,107,2025-09-17,9,6
2016066,103,2025-09-17,44,29
2016033,112,2025-09-17,31,20
2016011,103,2025-09-17,62,41
2015005,109,2025-09-17,47,31
2014074,109,2025-09-18,53,35
2016031,102,2025-09-18,55,36
2014039,109,2025-09-18,36,24
2014041,110,2025-09-18,20,13
2014059,108,2025-09-18,33,22
2016078,112,2025-09-18,24,16
2014082,106,2025-09-18,45,30
2015035,106,2025-09-18,55,36
2014056,111,2025-09-18,14,9
2016089,112,2025-09-18,41,27
2014009,104,2025-09-18,16,10
2016070,112,2025-09-18,78,52
2016044,106,2025-09-18,36,24
2014045,108,2025-09-18,37,24
2016029,101,2025-09-18,19,12
2016015,101,2025-09-18,38,25
2016023,112,2025-09-18,36,24
2014047,108,2025-09-18,33,22
2016081,101,2025-09-18,59,39
2014016,105,2025-09-18,56,37
2016067,101,2025-09-18,22,14
2014052,110,2025-09-18,36,24
2016084,112,2025-09-18,39,26
2014012,107,2025-09-18,55,36
2014087,107,2025-09-18,28,18
2014002,111,2025-09-18,46,30
2016036,101,2025-09-18,64,42
2015043,103,2025-09-18,14,9
2015038,101,2025-09-18,50,33
2014077,105,2025-09-18,40,26
2015027,105,2025-09-18,59,39
2016073,103,2025-09-18,42,28
2014080,110,2025-09-18,43,28
2016014,102,2025-09-18,19,12
2014050,109,2025-09-18,40,26
2014030,106,2025-09-18,22,14
2016069,106,2025-09-18,34,22
2015004,110,2025-09-18,24,16
2016062,103,2025-09-18,54,36
2016018,102,2025-09-18,37,24
2015013,112,2025-09-18,23,15
2015040,102,2025-09-18,25,16
2014006,110,2025-09-18,22,14
2016011,112,2025-09-18,28,18
2016088,107,2025-09-18,30,20
2015075,112,2025-09-18,67,44
2015019,104,2025-09-18,39,26
2014024,109,2025-09-18,32,21
2015028,107,2025-09-18,20,13
2016055,112,2025-09-18,33,22
2015063,109,2025-09-18,44,29
2016022,103,2025-09-18,35,23
2016010,101,2025-09-18,37,24
2015064,105,2025-09-18,7,4
2014052,106,2025-09-19,55,36
2016060,103,2025-09-19,6,4
2016003,101,2025-09-19,38,25
2016033,101,2025-09-19,29,19
2014050,105,2025-09-19,38,25
2014056,106,2025-09-19,54,36
2016071,102,2025-09-19,25,16
2015007,111,2025-09-19,65,43
2015013,103,2025-09-19,10,6
2016081,102,2025-09-19,27,18
2016067,101,2025-09-19,54,36
2016034,101,2025-09-19,31,20
2015043,105,2025-09-19,36,24
2016049,102,2025-09-19,23,15
2014009,109,2025-09-19,68,45
2014077,107,2025-09-19,70,46
2015004,106,2025-09-19,28,18
2015028,104,2025-09-19,34,22
2014030,111,2025-09-19,32,21
2016084,102,2025-09-19,22,14
2016089,102,2025-09-19,15,10
2014017,107,2025-09-19,40,26
2014024,107,2025-09-19,17,11
2015075,112,2025-09-19,49,32
2016044,111,2025-09-19,39,26
2016073,103,2025-09-19,39,26
2015027,106,2025-09-19,43,28
2015090,105,2025-09-19,61,40
2014012,109,2025-09-19,55,36
2015068,109,2025-09-19,58,38
2016010,112,2025-09-19,22,14
2016072,101,2025-09-19,32,21
2014082,108,2025-09-19,28,18
2014041,107,2025-09-19,46,30
2016031,103,2025-09-19,64,42
2015026,105,2025-09-19,44,29
2014037,111,2025-09-19,34,22
2016057,112,2025-09-19,41,27
2015035,107,2025-09-19,32,21
2014016,106,2025-09-19,30,20
2014006,105,2025-09-19,29,19
2014076,106,2025-09-19,26,17
2014080,108,2025-09-19,35,23
2015020,112,2025-09-19,47,31
2014051,107,2025-09-19,29,19
2014059,106,2025-09-19,53,35
2016018,103,2025-09-19,37,24
2016062,108,2025-09-19,53,35
2016069,102,2025-09-19,61,40
2014032,111,2025-09-19,48,32
2014046,111,2025-09-19,16,10
2015042,111,2025-09-19,30,20
2015038,106,2025-09-19,41,27
2016022,101,2025-09-19,21,14
2015004,111,2025-09-22,17,11
2016003,102,2025-09-22,5,3
2014045,108,2025-09-22,14,9
2016066,102,2025-09-22,14,9
2014052,110,2025-09-22,20,13
2014037,106,2025-09-22,24,16
2016008,109,2025-09-22,25,16
2014050,111,2025-09-22,40,26
2014041,104,2025-09-22,42,28
